station_id,climate_type,target,gfs_mae,ecmwf_mae,blend_mae,model_mae,skill_vs_gfs,skill_vs_ecmwf,improvement_vs_gfs_pct
KORD,Continental,MaxT,0.819,1.849,1.116,0.877,-0.071,0.526,-7.1
KORD,Continental,MinT,1.111,1.616,1.176,1.059,0.047,0.345,4.7
KMDW,Continental,MaxT,1.462,2.026,1.675,0.813,0.444,0.599,44.4
KMDW,Continental,MinT,1.66,2.349,1.928,1.055,0.365,0.551,36.5
KMSP,Continental,MaxT,0.972,2.109,1.362,0.761,0.218,0.639,21.8
KMSP,Continental,MinT,1.275,1.815,1.392,0.969,0.24,0.466,24.0
KDTW,Continental,MaxT,0.817,1.532,1.015,0.814,0.004,0.469,0.4
KDTW,Continental,MinT,1.034,1.517,1.077,0.91,0.12,0.4,12.0
KDEN,Continental,MaxT,1.281,1.961,1.513,1.445,-0.128,0.263,-12.8
KDEN,Continental,MinT,2.312,4.79,3.478,1.665,0.28,0.652,28.0
KOKC,Continental,MaxT,0.914,2.126,1.34,0.716,0.217,0.663,21.7
KOKC,Continental,MinT,2.202,3.813,2.952,1.225,0.444,0.679,44.4
KNYC,NE Coastal,MaxT,1.068,1.942,1.265,0.823,0.229,0.576,22.9
KNYC,NE Coastal,MinT,2.027,3.034,2.471,1.248,0.384,0.589,38.4
KLGA,NE Coastal,MaxT,0.929,2.244,1.401,0.85,0.085,0.621,8.5
KLGA,NE Coastal,MinT,2.728,3.102,2.879,1.278,0.531,0.588,53.1
KBOS,NE Coastal,MaxT,1.194,1.906,1.352,0.927,0.224,0.514,22.4
KBOS,NE Coastal,MinT,2.802,1.966,2.268,1.253,0.553,0.363,55.3
KPHL,NE Coastal,MaxT,1.41,2.831,2.073,0.798,0.434,0.718,43.4
KPHL,NE Coastal,MinT,1.403,2.568,1.838,1.001,0.286,0.61,28.6
KDCA,NE Coastal,MaxT,1.138,2.022,1.452,1.139,-0.001,0.437,-0.1
KDCA,NE Coastal,MinT,1.657,2.03,1.771,1.006,0.393,0.504,39.3
KATL,SE Subtropical,MaxT,2.107,3.405,2.721,0.796,0.622,0.766,62.2
KATL,SE Subtropical,MinT,1.301,2.416,1.789,0.834,0.359,0.655,35.9
KCLT,SE Subtropical,MaxT,1.954,2.349,2.09,0.878,0.551,0.626,55.1
KCLT,SE Subtropical,MinT,1.057,1.233,0.989,0.957,0.095,0.224,9.5
KBNA,SE Subtropical,MaxT,2.617,2.723,2.612,0.811,0.69,0.702,69.0
KBNA,SE Subtropical,MinT,1.057,1.308,1.0,0.901,0.148,0.311,14.8
KJAX,SE Subtropical,MaxT,2.19,3.02,2.581,0.817,0.627,0.73,62.7
KJAX,SE Subtropical,MinT,1.895,1.69,1.588,1.012,0.466,0.401,46.6
KTPA,SE Subtropical,MaxT,1.713,2.799,2.201,1.033,0.397,0.631,39.7
KTPA,SE Subtropical,MinT,2.329,2.062,2.17,1.044,0.552,0.494,55.2
KMIA,SE Subtropical,MaxT,1.4,3.136,2.192,0.831,0.407,0.735,40.7
KMIA,SE Subtropical,MinT,1.182,1.418,1.089,1.146,0.031,0.192,3.1
KHOU,Gulf/SC,MaxT,1.107,3.227,1.894,0.924,0.165,0.714,16.5
KHOU,Gulf/SC,MinT,0.934,1.47,1.053,0.879,0.059,0.402,5.9
KMSY,Gulf/SC,MaxT,1.613,4.022,2.745,0.924,0.427,0.77,42.7
KMSY,Gulf/SC,MinT,1.303,2.08,1.539,1.183,0.092,0.431,9.2
KDFW,Gulf/SC,MaxT,1.135,2.682,1.852,0.758,0.332,0.717,33.2
KDFW,Gulf/SC,MinT,1.335,1.503,1.313,0.908,0.32,0.396,32.0
KDAL,Gulf/SC,MaxT,0.813,1.866,1.11,0.805,0.01,0.569,1.0
KDAL,Gulf/SC,MinT,1.033,1.661,1.184,0.944,0.087,0.432,8.7
KAUS,Gulf/SC,MaxT,1.701,2.681,2.172,0.717,0.578,0.732,57.8
KAUS,Gulf/SC,MinT,3.747,4.654,4.149,1.507,0.598,0.676,59.8
KSAT,Gulf/SC,MaxT,0.829,2.414,1.483,0.728,0.123,0.698,12.3
KSAT,Gulf/SC,MinT,1.352,2.159,1.378,1.159,0.143,0.463,14.3
KLAX,Pacific,MaxT,1.024,6.218,3.056,0.874,0.146,0.859,14.6
KLAX,Pacific,MinT,2.081,2.383,1.968,1.047,0.497,0.561,49.7
KSFO,Pacific,MaxT,1.597,2.788,1.782,1.305,0.183,0.532,18.3
KSFO,Pacific,MinT,2.132,1.475,1.33,0.929,0.564,0.37,56.4
KSEA,Pacific,MaxT,1.557,2.292,1.869,0.832,0.466,0.637,46.6
KSEA,Pacific,MinT,0.99,1.174,0.945,0.809,0.183,0.311,18.3
KPHX,Arid,MaxT,1.463,2.607,2.01,0.744,0.492,0.715,49.2
KPHX,Arid,MinT,1.373,1.884,1.456,0.856,0.376,0.546,37.6
KLAS,Arid,MaxT,0.551,2.038,1.191,0.555,-0.007,0.728,-0.7
KLAS,Arid,MinT,1.28,2.752,1.354,0.705,0.449,0.744,44.9
