target,feature,avg
MaxT,GFS_MaxT,36.77
MaxT,Forecast_MaxT,17.29
MaxT,EC_MaxT,3.89
MaxT,GFS_MeanT,2.84
MaxT,Model_Bias_MaxT_Rolling,2.31
MaxT,Forecast_MeanT,1.92
MaxT,Model_Bias_MaxT,1.7
MaxT,EC_MeanT,1.65
MaxT,Forecast_Uncertainty,1.43
MaxT,Model_Bias_MinT_Rolling,1.29
MaxT,Forecast_DewPoint,1.16
MaxT,U_Wind,1.06
MaxT,sin_time,1.06
MaxT,MaxT_vs_30d_Mean,1.05
MaxT,Cooling_Potential,1.02
MinT,GFS_MinT,31.55
MinT,Forecast_MinT,16.23
MinT,GFS_MeanT,5.85
MinT,EC_MinT,5.28
MinT,Forecast_MeanT,2.75
MinT,EC_MeanT,2.11
MinT,Model_Bias_MinT,1.98
MinT,Forecast_DewPoint,1.87
MinT,Model_Bias_MinT_Rolling,1.58
MinT,MinT_Rolling_Mean_7d,1.34
MinT,Model_Bias_MaxT_Rolling,1.31
MinT,Forecast_Wind,1.22
MinT,MinT_lag_1,1.19
MinT,Cooling_Potential,1.0
MinT,MaxT_vs_30d_Mean,1.0
