station_id,climate_type,target_variable,architecture,mae
KATL,SE Subtropical,MaxT,linear,0.7960279304154133
KATL,SE Subtropical,MinT,mlp,0.8336811804505498
KAUS,Gulf/SC,MaxT,linear,0.7172650367049632
KAUS,Gulf/SC,MinT,mlp,1.5073848781699246
KBNA,SE Subtropical,MaxT,mlp,0.8105116737225213
KBNA,SE Subtropical,MinT,linear,0.9008594307446914
KBOS,NE Coastal,MaxT,linear,0.9270724932046668
KBOS,NE Coastal,MinT,linear,1.2525195619892564
KCLT,SE Subtropical,MaxT,linear,0.8778304998059948
KCLT,SE Subtropical,MinT,mlp,0.9566111792273263
KDAL,Gulf/SC,MaxT,linear,0.8045232163816748
KDAL,Gulf/SC,MinT,linear,0.9437397371704528
KDCA,NE Coastal,MaxT,mlp,1.1390567920123071
KDCA,NE Coastal,MinT,linear,1.0061542041151055
KDEN,Continental,MaxT,mlp,1.4446319749302836
KDEN,Continental,MinT,mlp,1.665322028174236
KDFW,Gulf/SC,MaxT,linear,0.7581235119736497
KDFW,Gulf/SC,MinT,mlp,0.908015352829732
KDTW,Continental,MaxT,mlp,0.8135277284327754
KDTW,Continental,MinT,linear,0.9097503022966512
KHOU,Gulf/SC,MaxT,linear,0.923777252665773
KHOU,Gulf/SC,MinT,mlp,0.8787856695224484
KJAX,SE Subtropical,MaxT,mlp,0.8165039495691184
KJAX,SE Subtropical,MinT,mlp,1.0122774372908327
KLAS,Arid,MaxT,linear,0.5551638148572872
KLAS,Arid,MinT,linear,0.7051205743787802
KLAX,Pacific,MaxT,mlp,0.8743443267742573
KLAX,Pacific,MinT,catboost,1.047125253660184
KLGA,NE Coastal,MaxT,mlp,0.8504929129094854
KLGA,NE Coastal,MinT,linear,1.2784373571852894
KMDW,Continental,MaxT,linear,0.812575685642437
KMDW,Continental,MinT,mlp,1.054758159938623
KMIA,SE Subtropical,MaxT,linear,0.830619219854616
KMIA,SE Subtropical,MinT,linear,1.145846975574915
KMSP,Continental,MaxT,mlp,0.7608001556898566
KMSP,Continental,MinT,mlp,0.9687478963998353
KMSY,Gulf/SC,MaxT,linear,0.9235799768673122
KMSY,Gulf/SC,MinT,mlp,1.1831124782175
KNYC,NE Coastal,MaxT,mlp,0.8234566592232729
KNYC,NE Coastal,MinT,linear,1.2476524192901302
KOKC,Continental,MaxT,linear,0.7159186779124266
KOKC,Continental,MinT,linear,1.2247140927758648
KORD,Continental,MaxT,mlp,0.8770495390304961
KORD,Continental,MinT,mlp,1.0591232962139279
KPHL,NE Coastal,MaxT,mlp,0.7976181903655761
KPHL,NE Coastal,MinT,mlp,1.0012595644964586
KPHX,Arid,MaxT,mlp,0.7436671311960436
KPHX,Arid,MinT,linear,0.8559918967969932
KSAT,Gulf/SC,MaxT,mlp,0.7278360013219327
KSAT,Gulf/SC,MinT,linear,1.1586715442907953
KSEA,Pacific,MaxT,mlp,0.8315348007042783
KSEA,Pacific,MinT,linear,0.8090972035877978
KSFO,Pacific,MaxT,linear,1.304557679003612
KSFO,Pacific,MinT,lightgbm,0.9286525393477443
KTPA,SE Subtropical,MaxT,mlp,1.0328662733817582
KTPA,SE Subtropical,MinT,linear,1.043993643404295
